time,lon,lat,pressure,temperature,conductivity,salinity,oxygen,fluorescence,project,date,month,season
2020-02-05T13:07:50Z,39.25671,-5.140412,38,27.17201111111111,5.535852,34.99313888888887,4.556851666666667,0.2900444444444444,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,40,27.157675,5.5344410625,34.993218750000004,4.557929375,0.31479999999999997,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,42,27.130561904761905,5.5316321904761905,34.99297619047619,4.5599814285714295,0.3092809523809523,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,44,27.094572222222226,5.528233888888889,34.99531111111112,4.562639444444444,0.32589444444444443,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,46,27.056528571428572,5.524957357142857,34.999878571428575,4.565397142857143,0.32332142857142854,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,48,27.0346625,5.522894,35.00104375,4.567022500000001,0.30673124999999996,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,50,27.012481249999997,5.5208243125,35.00239375,4.5686687500000005,0.29904374999999994,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,52,26.99563333333334,5.519137266666667,35.00242,4.569942666666666,0.28281333333333325,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,54,26.970983333333333,5.517310722222223,35.007355555555556,4.571685555555556,0.29063888888888884,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,56,26.95303333333333,5.516400533333333,35.01375333333333,4.572881333333333,0.28356666666666663,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,58,26.922194444444447,5.515528777777777,35.03013333333333,4.574801111111111,0.2777666666666666,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,60,26.909980000000004,5.5157837333333335,35.0406,4.575462666666667,0.25608,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,62,26.902117499999992,5.5160170499999985,35.047652500000005,4.575877749999998,0.2441625,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,64,26.883453424657546,5.515180424657536,35.05515616438356,4.577102602739725,0.22247808219178072,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,66,26.901041818181813,5.520044781818183,35.076010909090904,4.5752299999999995,0.19208909090909093,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,68,26.7809625,5.503387229166669,35.04688125,4.585122916666667,0.1763916666666667,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,70,26.588063076923078,5.479613215384615,35.02153076923078,4.60053923076923,0.18067846153846145,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,72,26.446337623762368,5.466048168316832,35.03075841584159,4.611191584158414,0.18367425742574248,DPFA,2020-02-05,2,NE
2020-02-05T13:07:50Z,39.25671,-5.140412,74,26.43576590909091,5.4698193409090905,35.06539772727273,4.611105227272727,0.18786818181818185,DPFA,2020-02-05,2,NE
